rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
298,NCH,298,306,yes,yes,Elena Malygina,25,EST,EST,221,+8,+7,,Lost in Helsinki QF,,no
299,295,295,,no,no,Elena Ruxandra Bertea,19,ROU,ROU,220,+6,+5,,Lost in Heraklion QF,,no
300,35,35,,no,no,Polona Hercog,35,SLO,SLO,219,,-2,,,,no
301,299,299,,no,no,Katarina Jokić,27,SRB,SRB,218,,-2,,,,no
302,65,65,,no,no,Erika Andreeva,21,RUS,RUS,217,+41,+31,Trnava 2 SF,Qual. Trnava 2 W,237,yes
303,288,288,,no,no,Anouck Vrancken Peeters,23,NED,NED,217,,-2,,,,no
304,NCH,304,311,yes,yes,Jennifer Ruggeri,22,ITA,ITA,217,+7,+8,,Lost in Antalya 8 R16,,no
305,236,236,,no,no,Amarissa Tóth,23,HUN,HUN,216,-69,-82,,Lost in Qual. Antalya 2 R1,,no
306,293,293,,no,no,Rina Saigo,25,JPN,JPN,216,,-3,,,,no
307,293,293,,no,no,Dayeon Back,24,KOR,KOR,216,+5,+7,,Lost in Monastir 9 QF,,no
308,299,299,,no,no,Eunhye Lee,25,KOR,KOR,215,,-4,,Lost in Qual. Trnava 2 R1,,no
309,31,31,,no,no,Zarina Diyas,32,KAZ,KAZ,214,-13,-10,,,,no
310,NCH,310,324,yes,yes,Lea Ma,25,USA,USA,211,+14,+11,,Lost in Arcadia SF,,no
311,221,221,,no,no,Gabriela Cé,33,BRA,BRA,210,,-2,,,,no
